Kelas,NIM,uts teori,uas teori,uts praktikum,uas praktikum,quiz1,quiz2,quiz3
A,J3D115059,56.0,46.0,97.5,55.2,85.0,85.0,100.0
A,J3D116002,22.0,58.0,60.0,59.1,75.0,60.0,100.0
A,J3D116007,39.0,67.0,43.5,68.0,75.0,60.0,100.0
A,J3D116008,27.0,41.0,12.5,82.6,80.0,69.0,100.0
A,J3D116009,36.0,39.0,24.5,61.0,75.0,60.0,100.0
A,J3D116010,32.0,27.0,79.0,87.8,80.0,60.0,60.0
A,J3D116013,0.0,0.0,0.0,0.0,70.0,48.0,100.0
A,J3D116021,53.0,29.0,85.0,84.0,80.0,70.0,80.0
A,J3D116022,52.0,0.0,56.0,75.2,80.0,60.0,100.0
A,J3D116023,43.0,37.0,22.5,27.1,65.0,60.0,100.0
A,J3D116028,34.0,58.0,45.5,63.9,65.0,60.0,90.0
A,J3D116030,60.0,77.0,81.0,65.6,80.0,60.0,54.0
A,J3D116031,28.0,74.0,31.5,78.0,80.0,67.0,70.0
A,J3D116034,39.0,65.0,80.5,53.0,75.0,67.0,100.0
A,J3D116037,31.0,21.0,29.0,3.0,80.0,70.0,60.0
A,J3D116038,39.0,73.0,10.0,61.1,75.0,70.0,70.0
A,J3D116039,35.0,56.0,16.5,25.0,70.0,70.0,100.0
A,J3D116045,21.0,61.0,25.0,0.0,75.0,70.0,70.0
A,J3D116046,32.0,54.0,29.0,77.9,75.0,70.0,100.0
A,J3D116047,47.0,42.0,91.5,70.4,80.0,78.0,100.0
A,J3D116048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,J3D116049,51.0,39.0,89.5,61.6,80.0,78.0,100.0
A,J3D116057,61.0,33.0,56.0,73.5,80.0,69.0,100.0
A,J3D116058,59.0,57.0,100.0,83.3,78.0,78.0,100.0
A,J3D116060,22.0,39.0,20.5,49.6,65.0,50.0,45.0
A,J3D116062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,J3D116069,83.0,87.0,100.0,96.0,78.0,85.0,75.0
A,J3D116070,29.0,81.0,80.5,71.4,65.0,70.0,80.0
